WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,DAY,MONTH,YEAR
13.67,0,0.2,0.0,9.5,0.0,3.7,-1.0,1961,1,1
11.5,0,5.1,0.0,7.2,0.0,4.2,1.1,1961,1,2
11.25,0,0.4,0.0,5.5,0.0,0.5,-0.5,1961,1,3
8.63,0,0.2,0.0,5.6,0.0,0.4,-3.2,1961,1,4
11.92,0,10.4,0.0,7.2,1.0,-1.5,-7.5,1961,1,5
10.67,0,0.0,0.0,6.5,0.0,1.2,-2.0,1961,1,6
9.17,0,1.9,0.0,9.2,1.0,-2.4,-7.1,1961,1,7
14.29,0,0.0,0.0,6.6,0.0,3.1,0.0,1961,1,8
8.04,0,8.3,0.0,6.8,0.0,2.4,-0.8,1961,1,9
11.42,0,0.0,0.0,6.5,0.0,3.0,0.5,1961,1,10
7.54,0,0.5,0.0,10.0,1.0,-3.1,-7.7,1961,1,11
4.63,0,0.0,0.0,13.1,0.0,5.5,3.3,1961,1,13
3.08,0,0.0,0.0,5.6,1.0,-3.2,-6.1,1961,1,14
2.5,0,0.0,0.0,4.4,1.0,-5.0,-8.3,1961,1,15
9.25,0,0.0,0.0,4.6,1.0,-4.2,-8.3,1961,1,16
13.42,0,2.0,0.0,9.3,0.0,3.2,-2.7,1961,1,17
17.83,0,8.4,0.0,10.1,0.0,4.3,5.1,1961,1,18
3.71,0,0.9,0.0,6.6,0.0,1.6,-2.0,1961,1,19
3.17,0,21.5,0.0,9.3,1.0,-0.6,-5.4,1961,1,20
8.04,0,0.2,0.0,10.1,0.0,1.6,0.4,1961,1,21
9.38,0,0.3,0.0,6.5,0.0,5.5,1.3,1961,1,22
13.7,0,0.0,0.0,6.5,0.0,5.5,2.2,1961,1,23
20.38,0,9.5,0.0,5.3,0.0,3.4,0.5,1961,1,24
9.25,0,0.0,0.0,4.3,0.0,2.2,1.1,1961,1,25
14.33,0,0.7,0.0,13.0,0.0,2.2,-1.6,1961,1,26
16.79,0,1.5,0.0,12.3,0.0,3.7,2.7,1961,1,27
12.25,0,2.8,0.0,12.0,0.0,4.8,-2.2,1961,1,28
22.0,0,6.2,0.0,12.6,0.0,4.4,1.2,1961,1,29
14.5,0,1.4,0.0,7.8,0.0,3.7,0.8,1961,1,30
14.88,0,4.7,0.0,7.2,0.0,2.1,-0.5,1961,1,31
10.17,0,2.1,0.0,8.7,0.0,1.0,-2.2,1961,2,1
10.88,0,0.1,0.0,8.1,0.0,1.0,1.0,1961,2,2
8.5,0,4.0,0.0,8.1,1.0,-0.6,-5.0,1961,2,3
12.54,0,5.7,0.0,11.3,0.0,0.0,-1.1,1961,2,4
13.96,0,8.6,0.0,13.5,0.0,4.7,2.1,1961,2,5
19.17,0,0.5,0.0,7.8,0.0,2.1,1.5,1961,2,6
14.21,0,0.3,0.0,11.6,0.0,3.2,0.7,1961,2,7
16.5,0,4.4,0.0,14.6,0.0,4.4,2.4,1961,2,8
14.37,0,0.3,0.0,11.7,0.0,6.4,3.2,1961,2,9
11.08,0,0.8,0.0,10.7,0.0,7.3,3.1,1961,2,10
17.5,0,3.5,0.0,11.3,0.0,7.3,3.8,1961,2,11
11.71,0,0.0,0.0,15.5,0.0,7.1,4.3,1961,2,12
16.08,0,0.0,0.0,12.7,0.0,8.8,6.0,1961,2,13
15.46,0,0.0,0.0,13.3,0.0,10.0,7.7,1961,2,14
5.17,0,0.0,0.0,13.8,0.0,2.5,-3.3,1961,2,15
3.42,0,0.0,0.0,12.1,0.0,2.5,-2.6,1961,2,16
6.17,0,0.0,0.0,11.7,0.0,4.4,-0.4,1961,2,17
10.88,0,0.0,0.0,13.3,0.0,6.0,4.3,1961,2,18
9.62,0,0.0,0.0,14.5,0.0,8.2,-0.4,1961,2,19
7.25,0,0.0,0.0,13.1,0.0,5.3,-1.5,1961,2,20
3.75,0,0.0,0.0,8.6,0.0,4.7,-2.1,1961,2,21
8.25,0,0.0,0.0,7.5,0.0,5.1,2.5,1961,2,22
16.38,0,4.6,0.0,8.8,0.0,5.1,2.2,1961,2,23
8.17,0,0.7,0.0,11.0,0.0,6.1,4.4,1961,2,24
13.08,0,3.2,0.0,9.8,0.0,2.7,-1.3,1961,2,25
21.17,0,2.1,0.0,14.5,0.0,5.2,1.0,1961,2,26
